,Country,Code,Year,HDI,GDP_per_capita,Population,Region
0,Afghanistan,AFG,2023,0.496,1992.4244,41454709,Asia
1,Albania,ALB,2023,0.81,18244.293,2811615,Europe
2,Algeria,DZA,2023,0.763,15159.324,46164169,Africa
3,Andorra,AND,2023,0.913,64631.297,80825,Europe
4,Angola,AGO,2023,0.616,7244.893,36749852,Africa
5,Antigua and Barbuda,ATG,2023,0.851,28967.256,93293,North America
6,Argentina,ARG,2023,0.865,27104.98,45538356,South America
7,Armenia,ARM,2023,0.811,19230.19,2943346,Asia
8,Australia,AUS,2023,0.958,59552.88,26451074,Oceania
9,Austria,AUT,2023,0.93,65015.133,9130386,Europe
10,Azerbaijan,AZE,2023,0.789,21262.299,10318161,Asia
11,Bahamas,BHS,2023,0.82,33105.605,399410,North America
12,Bahrain,BHR,2023,0.899,57213.09,1569625,Asia
13,Bangladesh,BGD,2023,0.685,8242.398,171466945,Asia
14,Barbados,BRB,2023,0.811,19224.463,282302,North America
15,Belarus,BLR,2023,0.824,27718.322,9115626,Europe
16,Belgium,BEL,2023,0.951,64185.848,11712836,Europe
17,Belize,BLZ,2023,0.721,12455.296,411073,North America
18,Benin,BEN,2023,0.515,3721.2246,14110987,Africa
19,Bolivia,BOL,2023,0.733,9843.97,12244104,South America
20,Bosnia and Herzegovina,BIH,2023,0.804,20126.38,3185033,Europe
21,Botswana,BWA,2023,0.731,18846.25,2480185,Africa
22,Brazil,BRA,2023,0.786,19018.238,211140678,South America
23,Brunei,BRN,2023,0.837,76828.4,458910,Asia
24,Bulgaria,BGR,2023,0.845,33403.375,6795757,Europe
25,Burkina Faso,BFA,2023,0.459,2482.0723,23025738,Africa
26,Burundi,BDI,2023,0.439,828.8611,13689406,Africa
27,Cambodia,KHM,2023,0.606,6690.5894,17423835,Asia
28,Cameroon,CMR,2023,0.588,4870.571,28372638,Africa
29,Canada,CAN,2023,0.939,55918.93,39299053,North America
30,Cape Verde,CPV,2023,0.668,9288.402,522290,Africa
31,Central African Republic,CAF,2023,0.414,1135.1362,5152373,Africa
32,Chad,TCD,2023,0.416,1679.4615,19319025,Africa
33,Chile,CHL,2023,0.878,29462.64,19658791,South America
34,China,CHN,2023,0.797,22137.6,1422584878,Asia
35,Colombia,COL,2023,0.788,18692.385,52321104,South America
36,Comoros,COM,2023,0.603,3498.8032,850335,Africa
37,Congo,COG,2023,0.649,6172.2876,6182830,Africa
38,Costa Rica,CRI,2023,0.833,26292.771,5105469,North America
39,Cote d'Ivoire,CIV,2023,0.582,6485.316,31165592,Africa
40,Croatia,HRV,2023,0.889,41116.87,3895973,Europe
41,Cyprus,CYP,2023,0.913,53420.684,1344937,Europe
42,Czechia,CZE,2023,0.915,49681.06,10809674,Europe
43,Democratic Republic of Congo,COD,2023,0.522,1455.8356,105789681,Africa
44,Denmark,DNK,2023,0.962,72097.305,5948078,Europe
45,Djibouti,DJI,2023,0.513,6400.62,1152912,Africa
46,Dominica,DMA,2023,0.761,17420.252,66478,North America
47,Dominican Republic,DOM,2023,0.776,23087.934,11331213,North America
48,East Timor,TLS,2023,0.634,4328.508,1384234,Asia
49,Ecuador,ECU,2023,0.777,14472.316,17980034,South America
50,Egypt,EGY,2023,0.754,16691.133,114535724,Africa
51,El Salvador,SLV,2023,0.678,11404.334,6309575,North America
52,Equatorial Guinea,GNQ,2023,0.674,15688.238,1847501,Africa
53,Estonia,EST,2023,0.905,42471.824,1367143,Europe
54,Eswatini,SWZ,2023,0.695,10132.1875,1230457,Africa
55,Ethiopia,ETH,2023,0.497,2755.457,128691654,Africa
56,Fiji,FJI,2023,0.731,13652.491,924114,Oceania
57,Finland,FIN,2023,0.948,57063.523,5601133,Europe
58,France,FRA,2023,0.92,55441.188,66438774,Europe
59,Gabon,GAB,2023,0.733,18702.691,2484739,Africa
60,Gambia,GMB,2023,0.524,2932.2805,2697797,Africa
61,Georgia,GEO,2023,0.844,22590.53,3807436,Asia
62,Germany,DEU,2023,0.959,63578.14,84548184,Europe
63,Ghana,GHA,2023,0.628,6796.4736,33787870,Africa
64,Greece,GRC,2023,0.908,36905.453,10242850,Europe
65,Grenada,GRD,2023,0.791,16946.473,117047,North America
66,Guatemala,GTM,2023,0.662,12389.386,18124791,North America
67,Guinea,GIN,2023,0.5,3949.34,14405424,Africa
68,Guinea-Bissau,GNB,2023,0.514,2578.8044,2153292,Africa
69,Guyana,GUY,2023,0.776,49315.16,826310,South America
70,Haiti,HTI,2023,0.554,2956.4622,11637352,North America
71,Honduras,HND,2023,0.645,6468.302,10644802,North America
72,Hong Kong,HKG,2023,0.955,64467.574,7442686,Asia
73,Hungary,HUN,2023,0.87,40543.992,9686418,Europe
74,Iceland,ISL,2023,0.972,67255.67,387522,Europe
75,India,IND,2023,0.685,9160.063,1438069540,Asia
76,Indonesia,IDN,2023,0.728,13889.883,281190021,Asia
77,Iran,IRN,2023,0.799,15912.03,90608663,Asia
78,Iraq,IRQ,2023,0.695,12711.062,45074010,Asia
79,Ireland,IRL,2023,0.949,114922.39,5196586,Europe
80,Israel,ISR,2023,0.919,48432.11,9256261,Asia
81,Italy,ITA,2023,0.915,53312.07,59499408,Europe
82,Jamaica,JAM,2023,0.72,10291.3125,2839729,North America
83,Japan,JPN,2023,0.925,46157.637,124370893,Asia
84,Jordan,JOR,2023,0.754,9362.588,11439171,Asia
85,Kazakhstan,KAZ,2023,0.837,34703.234,20330063,Asia
86,Kenya,KEN,2023,0.628,5682.9893,55338953,Africa
87,Kiribati,KIR,2023,0.644,3195.8704,132494,Oceania
88,Kuwait,KWT,2023,0.852,46458.2,4838724,Asia
89,Kyrgyzstan,KGZ,2023,0.72,6403.143,7073476,Asia
90,Laos,LAO,2023,0.617,8372.156,7664955,Asia
91,Latvia,LVA,2023,0.889,37007.367,1882336,Europe
92,Lesotho,LSO,2023,0.55,2595.8296,2311429,Africa
93,Liberia,LBR,2023,0.51,1616.9237,5492981,Africa
94,Libya,LBY,2023,0.721,12478.144,7305611,Africa
95,Lithuania,LTU,2023,0.895,46740.41,2854061,Europe
96,Luxembourg,LUX,2023,0.922,132846.58,665058,Europe
97,Madagascar,MDG,2023,0.487,1643.3093,31195885,Africa
98,Malawi,MWI,2023,0.517,1648.4365,21104426,Africa
99,Malaysia,MYS,2023,0.819,32812.3,35126249,Asia
100,Maldives,MDV,2023,0.766,22286.98,525955,Asia
101,Mali,MLI,2023,0.419,2394.672,23769081,Africa
102,Malta,MLT,2023,0.924,61125.71,532921,Europe
103,Marshall Islands,MHL,2023,0.733,6786.696,38803,Oceania
104,Mauritania,MRT,2023,0.563,6258.711,5022397,Africa
105,Mauritius,MUS,2023,0.806,26590.424,1273543,Africa
106,Mexico,MEX,2023,0.789,22142.607,129739713,North America
107,Micronesia (country),FSM,2023,0.615,3886.6965,112602,Oceania
108,Moldova,MDA,2023,0.785,15855.273,3067017,Europe
109,Mongolia,MNG,2023,0.747,16222.864,3431887,Asia
110,Montenegro,MNE,2023,0.862,27869.65,633503,Europe
111,Morocco,MAR,2023,0.71,8868.712,37712463,Africa
112,Mozambique,MOZ,2023,0.493,1511.6365,33635119,Africa
113,Myanmar,MMR,2023,0.609,5364.138,54133741,Asia
114,Namibia,NAM,2023,0.665,10105.515,2963048,Africa
115,Nauru,NRU,2023,0.703,12462.841,11850,Oceania
116,Nepal,NPL,2023,0.622,4859.8003,29694568,Asia
117,Netherlands,NLD,2023,0.955,71446.695,18092473,Europe
118,New Zealand,NZL,2023,0.938,48826.574,5172791,Oceania
119,Nicaragua,NIC,2023,0.706,7486.943,6823569,North America
120,Niger,NER,2023,0.419,1703.397,26159817,Africa
121,Nigeria,NGA,2023,0.56,5593.0566,227882899,Africa
122,North Macedonia,MKD,2023,0.815,23584.564,1831749,Europe
123,Norway,NOR,2023,0.97,90469.81,5519123,Europe
124,Oman,OMN,2023,0.858,38311.418,5049214,Asia
125,Pakistan,PAK,2023,0.544,5439.1875,247504458,Asia
126,Palau,PLW,2023,0.786,15796.54,17707,Oceania
127,Palestine,PSE,2023,0.674,5313.098,5409153,Asia
128,Panama,PAN,2023,0.839,35863.88,4458719,North America
129,Papua New Guinea,PNG,2023,0.576,4174.4414,10389589,Oceania
130,Paraguay,PRY,2023,0.756,15783.115,6844101,South America
131,Peru,PER,2023,0.794,15294.257,33845565,South America
132,Philippines,PHL,2023,0.72,9901.057,114891152,Asia
133,Poland,POL,2023,0.906,44384.168,38762796,Europe
134,Portugal,PRT,2023,0.89,41755.48,10430680,Europe
135,Qatar,QAT,2023,0.886,116159.14,2979038,Asia
136,Romania,ROU,2023,0.845,40665.527,19118433,Europe
137,Russia,RUS,2023,0.832,39753.457,145440454,Europe
138,Rwanda,RWA,2023,0.578,3060.029,13954429,Africa
139,Saint Kitts and Nevis,KNA,2023,0.84,30409.404,46743,North America
140,Saint Lucia,LCA,2023,0.748,23403.46,179241,North America
141,Saint Vincent and the Grenadines,VCT,2023,0.798,18335.213,101286,North America
142,Samoa,WSM,2023,0.708,6304.346,216630,Oceania
143,Sao Tome and Principe,STP,2023,0.637,5541.302,230834,Africa
144,Saudi Arabia,SAU,2023,0.9,55055.4,33264239,Asia
145,Senegal,SEN,2023,0.53,4317.2266,18077527,Africa
146,Serbia,SRB,2023,0.833,26030.021,6773156,Europe
147,Seychelles,SYC,2023,0.848,29468.951,127910,Africa
148,Sierra Leone,SLE,2023,0.467,3034.219,8460469,Africa
149,Singapore,SGP,2023,0.946,127543.555,5789037,Asia
150,Slovakia,SVK,2023,0.88,39290.434,5518008,Europe
151,Slovenia,SVN,2023,0.931,48243.94,2118353,Europe
152,Solomon Islands,SLB,2023,0.584,2534.0276,799964,Oceania
153,Somalia,SOM,2023,0.404,1402.47,18358576,Africa
154,South Africa,ZAF,2023,0.741,13690.39,63212339,Africa
155,South Korea,KOR,2023,0.937,50572.25,51748695,Asia
156,Spain,ESP,2023,0.918,47141.543,47911535,Europe
157,Sri Lanka,LKA,2023,0.776,13029.524,22971566,Asia
158,Sudan,SDN,2023,0.511,2469.1946,50042754,Africa
159,Suriname,SUR,2023,0.722,19043.705,628840,South America
160,Sweden,SWE,2023,0.959,63114.68,10551441,Europe
161,Switzerland,CHE,2023,0.97,82557.55,8870520,Europe
162,Tajikistan,TJK,2023,0.691,4472.324,10389764,Asia
163,Tanzania,TZA,2023,0.555,3620.7935,66617556,Africa
164,Thailand,THA,2023,0.798,21142.664,71702397,Asia
165,Togo,TGO,2023,0.571,2767.5166,9304289,Africa
166,Trinidad and Tobago,TTO,2023,0.807,31705.834,1502887,North America
167,Tunisia,TUN,2023,0.746,12552.986,12200387,Africa
168,Turkey,TUR,2023,0.853,34609.914,87270451,Asia
169,Turkmenistan,TKM,2023,0.764,17866.404,7364394,Asia
170,Tuvalu,TUV,2023,0.689,5812.393,9788,Oceania
171,Uganda,UGA,2023,0.582,2791.0557,48656550,Africa
172,Ukraine,UKR,2023,0.779,15885.226,37732781,Europe
173,United Arab Emirates,ARE,2023,0.94,68577.54,10642052,Asia
174,United Kingdom,GBR,2023,0.946,54542.016,68682907,Europe
175,United States,USA,2023,0.938,74577.51,343477286,North America
176,Uruguay,URY,2023,0.862,31019.31,3388029,South America
177,Uzbekistan,UZB,2023,0.74,10007.686,35652264,Asia
178,Vanuatu,VUT,2023,0.621,3118.396,320377,Oceania
179,Vietnam,VNM,2023,0.766,13491.88,100352143,Asia
180,Zambia,ZMB,2023,0.595,3673.4841,20723923,Africa
181,Zimbabwe,ZWE,2023,0.598,3442.2512,16340778,Africa
